ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
36009,Paul Jeffrey Foerster,M,40.0,172.0,68.0,United States,USA,2004 Summer,2004,Summer,Athina,Sailing,Sailing Men's Two Person Dinghy,Gold
36017,"Hlia ""Fofo"" Rogrio de Souza Pinto",F,30.0,173.0,63.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Women's Volleyball,Bronze
36017,"Hlia ""Fofo"" Rogrio de Souza Pinto",F,38.0,173.0,63.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
36020,Lyndsie Fogarty,F,24.0,174.0,70.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze
36040,Laurent Foirest,M,26.0,197.0,95.0,France,FRA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,Silver
36046,Anton Viktorovich Fokin,M,25.0,169.0,57.0,Uzbekistan,UZB,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Parallel Bars,Bronze
36085,Selina Follas,F,24.0,167.0,64.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Softball,Softball Women's Softball,Bronze
36092,Casper Michael von Folsach,M,23.0,191.0,82.0,Denmark,DEN,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
36114,Andrea Fondelli,M,22.0,190.0,96.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Bronze
36130,Eric V. Fonoimoana,M,31.0,191.0,93.0,United States-1,USA,2000 Summer,2000,Summer,Sydney,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Gold
36158,Marco Aurelio Fontana,M,27.0,172.0,68.0,Italy,ITA,2012 Summer,2012,Summer,London,Cycling,"Cycling Men's Mountainbike, Cross-Country",Bronze
36182,Nouchka Fontijn,F,28.0,180.0,75.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Women's Middleweight,Silver
36208,John Robert Forbes,M,30.0,181.0,78.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Mixed Multihull,Silver
36212,Shashalee Forbes,F,20.0,160.0,55.0,Jamaica,JAM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
36220,Rosalba Forciniti,F,26.0,159.0,52.0,Italy,ITA,2012 Summer,2012,Summer,London,Judo,Judo Women's Half-Lightweight,Bronze
36240,Russell Ford,M,28.0,181.0,77.0,Australia,AUS,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,Bronze
36251,Annemarie Forder,F,22.0,175.0,77.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Women's Air Pistol, 10 metres",Bronze
36289,"Miraildes ""Formiga"" Maciel Mota",F,26.0,162.0,53.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,Silver
36289,"Miraildes ""Formiga"" Maciel Mota",F,30.0,162.0,53.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Silver
36336,Robert Frstemann,M,26.0,174.0,90.0,Germany,GER,2012 Summer,2012,Summer,London,Cycling,Cycling Men's Team Sprint,Bronze
36350,Karsten Forsterling,M,32.0,191.0,88.0,Australia,AUS,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Quadruple Sculls,Bronze
36350,Karsten Forsterling,M,36.0,191.0,88.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Silver
36447,"Timothy James Carrington ""Tim"" Foster",M,30.0,190.0,89.0,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxless Fours,Gold
36492,Julie Maurine Foudy,F,29.0,165.0,59.0,United States,USA,2000 Summer,2000,Summer,Sydney,Football,Football Women's Football,Silver
36492,Julie Maurine Foudy,F,33.0,165.0,59.0,United States,USA,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,Gold
